Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,,,
,,CRS/LPTIM1/SYS_AF,LPTIM1/ TIM1/TIM2/TIM5/TIM8,LPTIM1/LPTIM2/LPTIM3/ TIM1/TIM2/TIM3/TIM4/TIM5,ADF1/I2C4/OCTOSPIM_P1/OTG_FS/SAI1/SPI2/TIM1/TIM8/ USART2,DCMI/I2C1/I2C2/I2C3/I2C4/ LPTIM3,DCMI/I2C4/MDF1/OCTOSPIM_P1/OCTOSPIM_P2/SPI1/SPI2/SPI3,I2C3/MDF1/OCTOSPIM_P2/SPI3,USART1/USART2/USART3,LPUART1/SDMMC1/UART4/UART5,CAN1/TSC,CRS/DCMI/OCTOSPIM_P1/OCTOSPIM_P2/OTG_FS,LPGPIO1/ SDMMC2/UCPD1/FMC,COMP1/COMP2/FMC/SDMMC1/SDMMC2,LPTIM2/LPTIM4/SAI1/SAI2,TIM2/TIM15/TIM16/TIM17/LPTIM2,EVENTOUT,ADC,COMP,DAC
PortA,PA0,,TIM2_CH1,TIM5_CH1,TIM8_ETR,,,SPI3_RDY,USART2_CTS,UART4_TX,,OCTOSPIM_P2_NCS,,SDMMC2_CMD,AUDIOCLK,TIM2_ETR,EVENTOUT,ADC1_IN5,,
PortA,PA1,LPTIM1_CH2,TIM2_CH2,TIM5_CH2,,I2C1_SMBA,SPI1_SCK,,USART2_RTS/USART2_DE,UART4_RX,,OCTOSPIM_P1_DQS,LPGPIO1_P0,,,TIM15_CH1N,EVENTOUT,ADC1_IN6,,
PortA,PA2,,TIM2_CH3,TIM5_CH3,,,SPI1_RDY,,USART2_TX,LPUART1_TX,,OCTOSPIM_P1_NCS,UCPD1_FRSTX1,,,TIM15_CH1,EVENTOUT,ADC1_IN7,COMP1_ INP3,
PortA,PA3,,TIM2_CH4,TIM5_CH4,SAI1_CK1,,,,USART2_RX,LPUART1_RX,,OCTOSPIM_P1_CLK,LPGPIO1_P1,,SAI1_MCLK_A,TIM15_CH2,EVENTOUT,ADC1_IN8,,
PortA,PA4,,,,OCTOSPIM_P1 _NCS,,SPI1_NSS,SPI3_NSS,USART2_CK,,,DCMI_HSYNC/PSSI_DE,,,SAI1_FS_B,LPTIM2_CH1,EVENTOUT,ADC1_IN9/ADC4_IN9,,DAC1_ OUT1
PortA,PA5,CSLEEP,TIM2_CH1,TIM2_ETR,TIM8_CH1N,PSSI_D14,SPI1_SCK,,USART3_RX,,,,,,,LPTIM2_ETR,EVENTOUT,ADC1_IN10/ADC4_IN10,,DAC1_ OUT2
PortA,PA6,CDSTOP,TIM1_BKIN,TIM3_CH1,TIM8_BKIN,DCMI_PIXCLK/PSSI_PDCK,SPI1_MISO,,USART3_CTS,LPUART1_CTS,,OCTOSPIM_P1_IO3,LPGPIO1_P2,,,TIM16_CH1,EVENTOUT,ADC1_IN11/ADC4_IN11,,
PortA,PA7,SRDSTOP,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,I2C3_SCL,SPI1_MOSI,,USART3_TX,,,OCTOSPIM_P1_IO2,,,LPTIM2_CH2,TIM17_CH1,EVENTOUT,ADC1_IN12/ADC4_IN20,,
PortA,PA8,MCO,TIM1_CH1,,SAI1_CK2,,SPI1_RDY,,USART1_CK,,,OTG_FS_SOF,,TRACECLK,SAI1_SCK_A,LPTIM2_CH1,EVENTOUT,,,
PortA,PA9,,TIM1_CH2,,SPI2_SCK,I2C1_SCL,DCMI_D0/PSSI_D0,,USART1_TX,,,,,,SAI1_FS_A,TIM15_BKIN,EVENTOUT,,,
PortA,PA10,CRS_SYNC,TIM1_CH3,LPTIM2_IN2,SAI1_D1,I2C1_SDA,DCMI_D1/PSSI_D1,,USART1_RX,,,OTG_FS_ID,,,SAI1_SD_A,TIM17_BKIN,EVENTOUT,,,
PortA,PA11,,TIM1_CH4,TIM1_BKIN2,,,SPI1_MISO,,USART1_CTS,,FDCAN1_RX,OTG_FS_DM,,,,,EVENTOUT,,,
PortA,PA12,,TIM1_ETR,,,,SPI1_MOSI,OCTOSPIM_P2_NCS,USART1_RTS/USART1_DE,,FDCAN1_TX,OTG_FS_DP,,,,,EVENTOUT,,,
PortA,PA13,JTMS/SWDIO,IR_OUT,,,,,,,,,OTG_FS_NOE,,,SAI1_SD_B,,EVENTOUT,,,
PortA,PA14,JTCK/SWCLK,LPTIM1_CH1,,,I2C1_SMBA,I2C4_SMBA,,,,,OTG_FS_SOF,,,SAI1_FS_B,,EVENTOUT,,,
PortA,PA15,JTDI,TIM2_CH1,TIM2_ETR,USART2_RX,,SPI1_NSS,SPI3_NSS,USART3_RTS/USART3_DE,UART4_RTS/UART4_DE,,,,,SAI2_FS_B,,EVENTOUT,,,
PortB,PB0,,TIM1_CH2N,TIM3_CH3,TIM8_CH2N,LPTIM3_CH1,SPI1_NSS,,USART3_CK,,,OCTOSPIM_P1_IO1,LPGPIO1_P9,COMP1_OUT,AUDIOCLK,,EVENTOUT,ADC1_IN15/ADC4_IN18,,
PortB,PB1,,TIM1_CH3N,TIM3_CH4,TIM8_CH3N,LPTIM3_CH2,,MDF1_SDI0,USART3_RTS/USART3_DE,LPUART1_RTS/LPUART1_DE,,OCTOSPIM_P1_IO0,LPGPIO1_P3,,,LPTIM2_IN1,EVENTOUT,ADC1_IN16/ADC4_IN19,COMP1_ INM1,
PortB,PB2,,LPTIM1_CH1,,TIM8_CH4N,I2C3_SMBA,SPI1_RDY,MDF1_CKI0,,,,OCTOSPIM_P1_DQS,UCPD1_FRSTX1,,,,EVENTOUT,ADC1_IN17,COMP1_INP2,
PortB,PB3,JTDO/TRACESWO,TIM2_CH2,LPTIM1_CH1,ADF1_CCK0,I2C1_SDA,SPI1_SCK,SPI3_SCK,USART1_RTS/USART1_DE,,,CRS_SYNC,LPGPIO1_P11,SDMMC2_D2,SAI1_SCK_B,,EVENTOUT,,COMP2_ INM2,
PortB,PB4,NJTRST,LPTIM1_CH2,TIM3_CH1,ADF1_SDI0,I2C3_SDA,SPI1_MISO,SPI3_MISO,USART1_CTS,UART5_RTS/UART5_DE,TSC_G2_IO1,DCMI_D12/PSSI_D12,LPGPIO1_P12,SDMMC2_D3,SAI1_MCLK_B,TIM17_BKIN,EVENTOUT,,COMP2_ INP1,
PortB,PB5,,LPTIM1_IN1,TIM3_CH2,OCTOSPIM_P1_NCLK,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI,USART1_CK,UART5_CTS,TSC_G2_IO2,DCMI_D10/PSSI_D10,,COMP2_OUT,SAI1_SD_B,TIM16_BKIN,EVENTOUT,,,
PortB,PB6,,LPTIM1_ETR,TIM4_CH1,TIM8_BKIN2,I2C1_SCL,I2C4_SCL,MDF1_SDI5,USART1_TX,,TSC_G2_IO3,DCMI_D5/PSSI_D5,,,SAI1_FS_B,TIM16_CH1N,EVENTOUT,,COMP2_ INP2,
PortB,PB7,,LPTIM1_IN2,TIM4_CH2,TIM8_BKIN,I2C1_SDA,I2C4_SDA,MDF1_CKI5,USART1_RX,UART4_CTS,TSC_G2_IO4,DCMI_VSYNC/PSSI_RDY,,FMC_NL,,TIM17_CH1N,EVENTOUT,,COMP2_ INM1,
PortB,PB8,,,TIM4_CH3,SAI1_CK1,I2C1_SCL,MDF1_CCK0,SPI3_RDY,,SDMMC1_CKIN,FDCAN1_RX,DCMI_D6/PSSI_D6,SDMMC2_D4,SDMMC1_D4,SAI1_MCLK_A,TIM16_CH1,EVENTOUT,,,
PortB,PB9,,IR_OUT,TIM4_CH4,SAI1_D2,I2C1_SDA,SPI2_NSS,,,SDMMC1_CDIR,FDCAN1_TX,DCMI_D7/PSSI_D7,SDMMC2_D5,SDMMC1_D5,SAI1_FS_A,TIM17_CH1,EVENTOUT,,,
PortB,PB10,,TIM2_CH3,LPTIM3_CH1,I2C4_SCL,I2C2_SCL,SPI2_SCK,,USART3_TX,LPUART1_RX,TSC_SYNC,OCTOSPIM_P1_CLK,LPGPIO1_P4,COMP1_OUT,SAI1_SCK_A,,EVENTOUT,,,
PortB,PB11,,TIM2_CH4,,I2C4_SDA,I2C2_SDA,SPI2_RDY,,USART3_RX,LPUART1_TX,,OCTOSPIM_P1_NCS,,COMP2_OUT,,,EVENTOUT,,,
PortB,PB12,,TIM1_BKIN,,,I2C2_SMBA,SPI2_NSS,MDF1_SDI1,USART3_CK,LPUART1_RTS/LPUART1_DE,TSC_G1_IO1,OCTOSPIM_P1_NCLK,,,SAI2_FS_A,TIM15_BKIN,EVENTOUT,,,
PortB,PB13,,TIM1_CH1N,LPTIM3_IN1,,I2C2_SCL,SPI2_SCK,MDF1_CKI1,USART3_CTS,LPUART1_CTS,TSC_G1_IO2,,,,SAI2_SCK_A,TIM15_CH1N,EVENTOUT,,,
PortB,PB14,,TIM1_CH2N,LPTIM3_ETR,TIM8_CH2N,I2C2_SDA,SPI2_MISO,MDF1_SDI2,USART3_RTS/USART3_DE,,TSC_G1_IO3,,,SDMMC2_D0,SAI2_MCLK_A,TIM15_CH1,EVENTOUT,,,
PortB,PB15,RTC_REFIN,TIM1_CH3N,LPTIM2_IN2,TIM8_CH3N,,SPI2_MOSI,MDF1_CKI2,,,,,FMC_NBL1,SDMMC2_D1,SAI2_SD_A,TIM15_CH2,EVENTOUT,,,
PortC,PC0,,LPTIM1_IN1,,OCTOSPIM_P1_IO7,I2C3_SCL,SPI2_RDY,MDF1_SDI4,,LPUART1_RX,,,,SDMMC1_D5,SAI2_FS_A,LPTIM2_IN1,EVENTOUT,ADC1_IN1/ADC4_IN1,,
PortC,PC1,TRACED0,LPTIM1_CH1,,SPI2_MOSI,I2C3_SDA,,MDF1_CKI4,,LPUART1_TX,,OCTOSPIM_P1_IO4,,SDMMC2_CK,SAI1_SD_A,,EVENTOUT,ADC1_IN2/ADC4_IN2,,
PortC,PC2,,LPTIM1_IN2,,,,SPI2_MISO,MDF1_CCK1,,,,OCTOSPIM_P1_IO5,LPGPIO1_P5,,,,EVENTOUT,ADC1_IN3/ADC4_IN3,,
PortC,PC3,,LPTIM1_ETR,LPTIM3_CH1,SAI1_D1,,SPI2_MOSI,,,,,OCTOSPIM_P1_IO6,,,SAI1_SD_A,LPTIM2_ETR,EVENTOUT,ADC1_IN4/ADC4_IN4,,
PortC,PC4,,,,,,,,USART3_TX,,,OCTOSPIM_P1_IO7,,,,,EVENTOUT,ADC1_IN13/ADC4_IN22,COMP1_ INM2,
PortC,PC5,,TIM1_CH4N,,SAI1_D3,PSSI_D15,,,USART3_RX,,,,,,,,EVENTOUT,ADC1_IN14/ADC4_IN23,COMP1_ INP1,
PortC,PC6,CSLEEP,,TIM3_CH1,TIM8_CH1,,,MDF1_CKI3,,SDMMC1_D0DIR,TSC_G4_IO1,DCMI_D0/PSSI_D0,SDMMC2_D6,SDMMC1_D6,SAI2_MCLK_A,,EVENTOUT,,,
PortC,PC7,CDSTOP,,TIM3_CH2,TIM8_CH2,,,MDF1_SDI3,,SDMMC1_D123DIR,TSC_G4_IO2,DCMI_D1/PSSI_D1,SDMMC2_D7,SDMMC1_D7,SAI2_MCLK_B,LPTIM2_CH2,EVENTOUT,,,
PortC,PC8,SRDSTOP,,TIM3_CH3,TIM8_CH3,,,,,,TSC_G4_IO3,DCMI_D2/PSSI_D2,,SDMMC1_D0,,LPTIM3_CH1,EVENTOUT,,,
PortC,PC9,TRACED0,TIM8_BKIN2,TIM3_CH4,TIM8_CH4,DCMI_D3/PSSI_D3,,,,,TSC_G4_IO4,OTG_FS_NOE,,SDMMC1_D1,,LPTIM3_CH2,EVENTOUT,,,
PortC,PC10,TRACED1,,LPTIM3_ETR,ADF1_CCK1,,,SPI3_SCK,USART3_TX,UART4_TX,TSC_G3_IO2,DCMI_D8/PSSI_D8,LPGPIO1_P8,SDMMC1_D2,SAI2_SCK_B,,EVENTOUT,,,
PortC,PC11,,,LPTIM3_IN1,ADF1_SDI0,DCMI_D2/PSSI_D2,OCTOSPIM_P1_NCS,SPI3_MISO,USART3_RX,UART4_RX,TSC_G3_IO3,DCMI_D4/PSSI_D4,UCPD1_FRSTX2,SDMMC1_D3,SAI2_MCLK_B,,EVENTOUT,,,
PortC,PC12,TRACED3,,,,,,SPI3_MOSI,USART3_CK,UART5_TX,TSC_G3_IO4,DCMI_D9/PSSI_D9,LPGPIO1_P10,SDMMC1_CK,SAI2_SD_B,,EVENTOUT,,,
PortC,PC13,,,,,,,,,,,,,,,,EVENTOUT,,,
PortC,PC14,,,,,,,,,,,,,,,,EVENTOUT,,,
PortC,PC15,,,,,,,,,,,,,,,,EVENTOUT,,,
PortD,PD0,,,,TIM8_CH4N,,SPI2_NSS,,,,FDCAN1_RX,,,FMC_D2,,,EVENTOUT,,,
PortD,PD1,,,,,,SPI2_SCK,,,,FDCAN1_TX,,,FMC_D3,,,EVENTOUT,,,
PortD,PD2,TRACED2,,TIM3_ETR,,,,,USART3_RTS/USART3_DE,UART5_RX,TSC_SYNC,DCMI_D11/PSSI_D11,LPGPIO1_P7,SDMMC1_CMD,LPTIM4_ETR,,EVENTOUT,,,
PortD,PD3,,,,SPI2_SCK,DCMI_D5/PSSI_D5,SPI2_MISO,MDF1_SDI0,USART2_CTS,,,OCTOSPIM_P2_NCS,,FMC_CLK,,,EVENTOUT,,,
PortD,PD4,,,,,,SPI2_MOSI,MDF1_CKI0,USART2_RTS/USART2_DE,,,OCTOSPIM_P1_IO4,,FMC_NOE,,,EVENTOUT,,,
PortD,PD5,,,,,,SPI2_RDY,,USART2_TX,,,OCTOSPIM_P1_IO5,,FMC_NWE,,,EVENTOUT,,,
PortD,PD6,,,,SAI1_D1,DCMI_D10/PSSI_D10,SPI3_MOSI,MDF1_SDI1,USART2_RX,,,OCTOSPIM_P1_IO6,SDMMC2_CK,FMC_NWAIT,SAI1_SD_A,,EVENTOUT,,,
PortD,PD7,,,,,,,MDF1_CKI1,USART2_CK,,,OCTOSPIM_P1_IO7,SDMMC2_CMD,FMC_NE1,LPTIM4_OUT,,EVENTOUT,,,
PortD,PD8,,,,,,,,USART3_TX,,,DCMI_HSYNC/PSSI_DE,,FMC_D13,,,EVENTOUT,,,
PortD,PD9,,,LPTIM2_IN2,,,,,USART3_RX,,,DCMI_PIXCLK/PSSI_PDCK,,FMC_D14,SAI2_MCLK_A,LPTIM3_IN1,EVENTOUT,,,
PortD,PD10,,,LPTIM2_CH2,,,,,USART3_CK,,TSC_G6_IO1,,,FMC_D15,SAI2_SCK_A,LPTIM3_ETR,EVENTOUT,,,
PortD,PD11,,,,,I2C4_SMBA,,,USART3_CTS,,TSC_G6_IO2,,,FMC_CLE/FMC_A16,SAI2_SD_A,LPTIM2_ETR,EVENTOUT,ADC4_IN15,,
PortD,PD12,,,TIM4_CH1,,I2C4_SCL,,,USART3_RTS/USART3_DE,,TSC_G6_IO3,,,FMC_ALE/FMC_A17,SAI2_FS_A,LPTIM2_IN1,EVENTOUT,ADC4_IN16,,
PortD,PD13,,,TIM4_CH2,,I2C4_SDA,,,,,TSC_G6_IO4,,LPGPIO1_P6,FMC_A18,LPTIM4_IN1,LPTIM2_CH1,EVENTOUT,ADC4_IN17,,
PortD,PD14,,,TIM4_CH3,,,,,,,,,,FMC_D0,,LPTIM3_CH1,EVENTOUT,,,
PortD,PD15,,,TIM4_CH4,,,,,,,,,,FMC_D1,,LPTIM3_CH2,EVENTOUT,,,
PortE,PE0,,,TIM4_ETR,,,,,,,,DCMI_D2/PSSI_D2,LPGPIO1_P13,FMC_NBL0,,TIM16_CH1,EVENTOUT,,,
PortE,PE1,,,,,,,,,,,DCMI_D3/PSSI_D3,,FMC_NBL1,,TIM17_CH1,EVENTOUT,,,
PortE,PE2,TRACECLK,,TIM3_ETR,SAI1_CK1,,,,,,TSC_G7_IO1,,LPGPIO1_P14,FMC_A23,SAI1_MCLK_A,,EVENTOUT,,,
PortE,PE3,TRACED0,,TIM3_CH1,OCTOSPIM_P1_DQS,,,,,,TSC_G7_IO2,,LPGPIO1_P15,FMC_A19,SAI1_SD_B,,EVENTOUT,,,
PortE,PE4,TRACED1,,TIM3_CH2,SAI1_D2,,,MDF1_SDI3,,,TSC_G7_IO3,DCMI_D4/PSSI_D4,,FMC_A20,SAI1_FS_A,,EVENTOUT,,,
PortE,PE5,TRACED2,,TIM3_CH3,SAI1_CK2,,,MDF1_CKI3,,,TSC_G7_IO4,DCMI_D6/PSSI_D6,,FMC_A21,SAI1_SCK_A,,EVENTOUT,,,
PortE,PE6,TRACED3,,TIM3_CH4,SAI1_D1,,,,,,,DCMI_D7/PSSI_D7,,FMC_A22,SAI1_SD_A,,EVENTOUT,,,
PortE,PE7,,TIM1_ETR,,,,,MDF1_SDI2,,,,,,FMC_D4,SAI1_SD_B,,EVENTOUT,,,
PortE,PE8,,TIM1_CH1N,,,,,MDF1_CKI2,,,,,,FMC_D5,SAI1_SCK_B,,EVENTOUT,,,
PortE,PE9,,TIM1_CH1,,ADF1_CCK0,,,MDF1_CCK0,,,,OCTOSPIM_P1_NCLK,,FMC_D6,SAI1_FS_B,,EVENTOUT,,,
PortE,PE10,,TIM1_CH2N,,ADF1_SDI0,,,MDF1_SDI4,,,TSC_G5_IO1,OCTOSPIM_P1_CLK,,FMC_D7,SAI1_MCLK_B,,EVENTOUT,,,
PortE,PE11,,TIM1_CH2,,,,SPI1_RDY,MDF1_CKI4,,,TSC_G5_IO2,OCTOSPIM_P1_NCS,,FMC_D8,,,EVENTOUT,,,
PortE,PE12,,TIM1_CH3N,,,,SPI1_NSS,MDF1_SDI5,,,TSC_G5_IO3,OCTOSPIM_P1_IO0,,FMC_D9,,,EVENTOUT,,,
PortE,PE13,,TIM1_CH3,,,,SPI1_SCK,MDF1_CKI5,,,TSC_G5_IO4,OCTOSPIM_P1_IO1,,FMC_D10,,,EVENTOUT,,,
PortE,PE14,,TIM1_CH4,TIM1_BKIN2,,,SPI1_MISO,,,,,OCTOSPIM_P1_IO2,,FMC_D11,,,EVENTOUT,,,
PortE,PE15,,TIM1_BKIN,,TIM1_CH4N,,SPI1_MOSI,,,,,OCTOSPIM_P1_IO3,,FMC_D12,,,EVENTOUT,,,
PortF,PF0,,,,,I2C2_SDA,OCTOSPIM_P2_IO0,,,,,,,FMC_A0,,,EVENTOUT,,,
PortF,PF1,,,,,I2C2_SCL,OCTOSPIM_P2_IO1,,,,,,,FMC_A1,,,EVENTOUT,,,
PortF,PF2,,,LPTIM3_CH2,,I2C2_SMBA,OCTOSPIM_P2_IO2,,,,,,,FMC_A2,,,EVENTOUT,,,
PortF,PF3,,,LPTIM3_IN1,,,OCTOSPIM_P2_IO3,,,,,,,FMC_A3,,,EVENTOUT,,,
PortF,PF4,,,LPTIM3_ETR,,,OCTOSPIM_P2_CLK,,,,,,,FMC_A4,,,EVENTOUT,,,
PortF,PF5,,,LPTIM3_CH1,,,OCTOSPIM_P2_NCLK,,,,,,,FMC_A5,,,EVENTOUT,,,
PortF,PF6,,TIM5_ETR,TIM5_CH1,,DCMI_D12/PSSI_D12,OCTOSPIM_P2_NCS,,,,,OCTOSPIM_P1_IO3,,,SAI1_SD_B,,EVENTOUT,,,
PortF,PF7,,,TIM5_CH2,,,,,,,FDCAN1_RX,OCTOSPIM_P1_IO2,,,SAI1_MCLK_B,,EVENTOUT,,,
PortF,PF8,,,TIM5_CH3,,PSSI_D14,,,,,FDCAN1_TX,OCTOSPIM_P1_IO2,,,SAI1_SCK_B,,EVENTOUT,,,
PortF,PF9,,,TIM5_CH4,,PSSI_D15,,,,,,OCTOSPIM_P1_IO1,,,SAI1_FS_B,TIM15_CH1,EVENTOUT,,,
PortF,PF10,,,,OCTOSPIM_P1_CLK,PSSI_D15,,MDF1_CCK1,,,,DCMI_D11/PSSI_D11,,,SAI1_D3,TIM15_CH2,EVENTOUT,,,
PortF,PF11,,,,OCTOSPIM_P1_NCLK,,,,,,,DCMI_D12/PSSI_D12,,,LPTIM4_IN1,,EVENTOUT,,,
PortF,PF12,,,,,,OCTOSPIM_P2_DQS,,,,,,,FMC_A6,LPTIM4_ETR,,EVENTOUT,,,
PortF,PF13,,,,,I2C4_SMBA,,,,,,,UCPD1_FRSTX2,FMC_A7,LPTIM4_OUT,,EVENTOUT,,,
PortF,PF14,,,,,I2C4_SCL,,,,,TSC_G8_IO1,,,FMC_A8,,,EVENTOUT,ADC4_IN5,,
PortF,PF15,,,,,I2C4_SDA,,,,,TSC_G8_IO2,,,FMC_A9,,,EVENTOUT,ADC4_IN6,,
PortG,PG0,,,,,,OCTOSPIM_P2_IO4,,,,TSC_G8_IO3,,,FMC_A10,,,EVENTOUT,ADC4_IN7,,
PortG,PG1,,,,,,OCTOSPIM_P2_IO5,,,,TSC_G8_IO4,,,FMC_A11,,,EVENTOUT,ADC4_IN8,,
PortG,PG2,,,,,,SPI1_SCK,,,,,,,FMC_A12,SAI2_SCK_B,,EVENTOUT,,,
PortG,PG3,,,,,,SPI1_MISO,,,,,,,FMC_A13,SAI2_FS_B,,EVENTOUT,,,
PortG,PG4,,,,,,SPI1_MOSI,,,,,,,FMC_A14,SAI2_MCLK_B,,EVENTOUT,,,
PortG,PG5,,,,,,SPI1_NSS,,,LPUART1_CTS,,,,FMC_A15,SAI2_SD_B,,EVENTOUT,,,
PortG,PG6,,,,OCTOSPIM_P1_DQS,I2C3_SMBA,SPI1_RDY,,,LPUART1_RTS/LPUART1_DE,,,UCPD1_FRSTX1,,,,EVENTOUT,,,
PortG,PG7,,,,SAI1_CK1,I2C3_SCL,OCTOSPIM_P2_DQS,MDF1_CCK0,,LPUART1_TX,,,UCPD1_FRSTX2,FMC_INT,SAI1_MCLK_A,,EVENTOUT,,,
PortG,PG8,,,,,I2C3_SDA,,,,LPUART1_RX,,,,,,,EVENTOUT,,,
PortG,PG9,,,,,,OCTOSPIM_P2_IO6,SPI3_SCK,USART1_TX,,,,,FMC_NCE/FMC_NE2,SAI2_SCK_A,TIM15_CH1N,EVENTOUT,,,
PortG,PG10,,LPTIM1_IN1,,,,OCTOSPIM_P2_IO7,SPI3_MISO,USART1_RX,,,,,FMC_NE3,SAI2_FS_A,TIM15_CH1,EVENTOUT,,,
PortG,PG11,,LPTIM1_IN2,,OCTOSPIM_P1_IO5,,,SPI3_MOSI,USART1_CTS,,,,,,SAI2_MCLK_A,TIM15_CH2,EVENTOUT,,,
PortG,PG12,,LPTIM1_ETR,,,,OCTOSPIM_P2_NCS,SPI3_NSS,USART1_RTS/USART1_DE,,,,,FMC_NE4,SAI2_SD_A,,EVENTOUT,,,
PortG,PG13,,,,,I2C1_SDA,,SPI3_RDY,USART1_CK,,,,,FMC_A24,,,EVENTOUT,,,
PortG,PG14,,LPTIM1_CH2,,,I2C1_SCL,,,,,,,,FMC_A25,,,EVENTOUT,,,
PortG,PG15,,LPTIM1_CH1,,,I2C1_SMBA,OCTOSPIM_P2_DQS,,,,,DCMI_D13/PSSI_D13,,,,,EVENTOUT,,,
PortH,PH0,,,,,,,,,,,,,,,,EVENTOUT,,,
PortH,PH1,,,,,,,,,,,,,,,,EVENTOUT,,,
PortH,PH2,,,,OCTOSPIM_P1_IO4,,,,,,,,,,,,EVENTOUT,,,
PortH,PH3,,,,,,,,,,,,,,,,EVENTOUT,,,
PortH,PH4,,,,,I2C2_SCL,OCTOSPIM_P2_DQS,,,,,PSSI_D14,,,,,EVENTOUT,,,
PortH,PH5,,,,,I2C2_SDA,,,,,,DCMI_PIXCLK/PSSI_PDCK,,,,,EVENTOUT,,,
PortH,PH6,,,,,I2C2_SMBA,OCTOSPIM_P2_CLK,,,,,DCMI_D8/PSSI_D8,,,,,EVENTOUT,,,
PortH,PH7,,,,,I2C3_SCL,OCTOSPIM_P2_NCLK,,,,,DCMI_D9/PSSI_D9,,,,,EVENTOUT,,,
PortH,PH8,,,,,I2C3_SDA,OCTOSPIM_P2_IO3,,,,,DCMI_HSYNC/PSSI_DE,,,,,EVENTOUT,,,
PortH,PH9,,,,,I2C3_SMBA,OCTOSPIM_P2_IO4,,,,,DCMI_D0/PSSI_D0,,,,,EVENTOUT,,,
PortH,PH10,,,TIM5_CH1,,,OCTOSPIM_P2_IO5,,,,,DCMI_D1/PSSI_D1,,,,,EVENTOUT,,,
PortH,PH11,,,TIM5_CH2,,,OCTOSPIM_P2_IO6,,,,,DCMI_D2/PSSI_D2,,,,,EVENTOUT,,,
PortH,PH12,,,TIM5_CH3,TIM8_CH4N,,OCTOSPIM_P2_IO7,,,,,DCMI_D3/PSSI_D3,,,,,EVENTOUT,,,
PortH,PH13,,,,TIM8_CH1N,,,,,,FDCAN1_TX,,,,,,EVENTOUT,,,
PortH,PH14,,,,TIM8_CH2N,,,,,,FDCAN1_RX,DCMI_D4/PSSI_D4,,,,,EVENTOUT,,,
PortH,PH15,,,,TIM8_CH3N,,OCTOSPIM_P2_IO6,,,,,DCMI_D11/PSSI_D11,,,,,EVENTOUT,,,
PortI,PI0,,,TIM5_CH4,OCTOSPIM_P1_IO5,,SPI2_NSS,,,,,DCMI_D13/PSSI_D13,,,,,EVENTOUT,,,
PortI,PI1,,,,,,SPI2_SCK,OCTOSPIM_P2_IO2,,,,DCMI_D8/PSSI_D8,,,,,EVENTOUT,,,
PortI,PI2,,,,TIM8_CH4,,SPI2_MISO,OCTOSPIM_P2_IO1,,,,DCMI_D9/PSSI_D9,,,,,EVENTOUT,,,
PortI,PI3,,,,TIM8_ETR,,SPI2_MOSI,OCTOSPIM_P2_IO0,,,,DCMI_D10/PSSI_D10,,,,,EVENTOUT,,,
PortI,PI4,,,,TIM8_BKIN,,SPI2_RDY,,,,,DCMI_D5/PSSI_D5,,,,,EVENTOUT,,,
PortI,PI5,,,,TIM8_CH1,,OCTOSPIM_P2_NCS,,,,,DCMI_VSYNC/PSSI_RDY,,,,,EVENTOUT,,,
PortI,PI6,,,,TIM8_CH2,,OCTOSPIM_P2_CLK,,,,,DCMI_D6/PSSI_D6,,,,,EVENTOUT,,,
PortI,PI7,,,,TIM8_CH3,,OCTOSPIM_P2_NCLK,,,,,DCMI_D7/PSSI_D7,,,,,EVENTOUT,,,
